id_participant,timestamp,This app is easy to use.,How often do you wear your watch in a week?,The notifications on the watch were annoying.,The notifications on the phone were annoying.,I answered the the question on the watch honestly.,The Cozie app feels fast and responsive.,The notifications helped to change my mind.,I changed my location after seeing the notifications.,"Overall, how satisfied are you with the Cozie app?",How would you rate the overall quality of the app?,How likely are you to recommend this app to a friend or colleague?,The noise and/or temperature intervention messages were helpful to me in understanding how to improve my indoor environmental satisfaction.,"Over the past week, I changed my location after receiving the noise intervention messages. ","Over the past week, I put on my earphones to mitigate noise distractions after receiving the noise intervention messages.","Over the past week, I changed my location, adjusted the thermostat, fan etc. to feel thermally comfortable after receiving the temperature intervention messages.",The intervention messages were annoying.,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness to Experience,swls,sensitivity
orenth01,2022-10-10 14:22:56.671000+00:00,Strongly disagree,40-50 hours,Neutral,Neutral,Strongly disagree,Strongly disagree,Somewhat agree,Very rarely,Very satisfied,Excellent,Likely,,,,,,3.5,6.0,3.0,5.5,3.0,22,4.25
orenth01,2022-10-20 01:44:32.965000+00:00,Strongly disagree,>50 hours,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Rarely,Very satisfied,Good,Likely,,,,,,3.5,6.0,3.0,5.5,3.0,22,4.25
orenth01,2022-10-26 07:31:27.555000+00:00,Neutral,>50 hours,Agree,Agree,Strong Agree,Agree,Agree,Occasionally,Somewhat satisfied,Fair,Neutral,,,,,,3.5,6.0,3.0,5.5,3.0,22,4.25
orenth02,2022-10-12 01:13:47.044000+00:00,Agree,10-20 hours,Disagree,Neutral,Strong Agree,Agree,Agree,Rarely,Very satisfied,Fair,Likely,,,,,,4.5,3.5,5.0,5.5,4.0,26,4.666666666666667
orenth02,2022-10-17 01:01:01.540000+00:00,Strong Agree,<10 hours,Disagree,Neutral,Agree,Agree,Agree,Occasionally,Very satisfied,Good,Extremely likely,,,,,,4.5,3.5,5.0,5.5,4.0,26,4.666666666666667
orenth02,2022-10-18 04:00:47.730000+00:00,Strong Agree,<10 hours,Strong Agree,Neutral,Strong Agree,Agree,Agree,Occasionally,Very satisfied,Good,Extremely likely,,,,,,4.5,3.5,5.0,5.5,4.0,26,4.666666666666667
orenth02,2022-10-25 04:01:38.304000+00:00,Strong Agree,10-20 hours,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Rarely,Very satisfied,Bad,Likely,,,,,,4.5,3.5,5.0,5.5,4.0,26,4.666666666666667
orenth02,2022-10-31 04:03:46.410000+00:00,Strongly disagree,10-20 hours,Neutral,Neutral,Neutral,Neutral,Neutral,Rarely,Very satisfied,Excellent,Extremely likely,,,,,,4.5,3.5,5.0,5.5,4.0,26,4.666666666666667
orenth02,2022-10-31 04:04:13.499000+00:00,Neutral,<10 hours,Neutral,Neutral,Neutral,Neutral,Neutral,Rarely,Extremly satisfied,Excellent,Extremely likely,,,,,,4.5,3.5,5.0,5.5,4.0,26,4.666666666666667
orenth03,2022-10-10 11:00:02.929000+00:00,Agree,>50 hours,Somewhat disagree,Somewhat disagree,Strong Agree,Somewhat agree,Neutral,Occasionally,Very satisfied,Good,Extremely likely,,,,,,2.0,5.5,3.0,2.5,4.5,20,4.5
orenth03,2022-10-20 05:58:23.456000+00:00,Strong Agree,>50 hours,Disagree,Disagree,Strong Agree,Somewhat agree,Somewhat agree,Occasionally,Very satisfied,Good,Extremely likely,,,,,,2.0,5.5,3.0,2.5,4.5,20,4.5
orenth03,2022-10-26 07:37:07.770000+00:00,Strong Agree,>50 hours,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Occasionally,Very satisfied,Good,Likely,,,,,,2.0,5.5,3.0,2.5,4.5,20,4.5
